Monat 2000 2001 2002 2003 2004 2005 2006
Januar 1717 1940 1999 1858 1980 1987 2059
Februar 2100 1968 2099 2090 2088 2033 2028
Maerz 2503 2449 2345 2322 2585 2270 2398
April 2278 2260 2467 2359 2442 2517 2267
Mai 2699 2514 2363 2378 2279 2418 2548
Juni 2399 2320 2357 2305 2462 2494 2419
Juli 2474 2586 2562 2583 2528 2500 2551
August 2592 2599 2499 2321 2494 2543 2552
September 2543 2413 2537 2545 2576 2538 2619
Oktober 2536 2649 2570 2541 2473 2472 2543
November 2619 2665 2556 2436 2662 2556 2658
Dezember 2461 2183 2278 2205 2351 2204 2493
